Wavelength Flux
1.227699951171875026e-01 0.000000000000000000e+00
1.228900024414062431e-01 0.000000000000000000e+00
1.229999999999999982e-01 2.881045575719998197e-11
1.231199951171875057e-01 3.784102892145924102e-11
1.232400024414062462e-01 6.517656553350903437e-11
1.233599975585937536e-01 5.398177738147325044e-11
1.234800048828124941e-01 5.662476043610809029e-11
1.235900024414062492e-01 3.612797214169738425e-11
1.237099975585937567e-01 3.175436649738294648e-11
1.238300048828124972e-01 8.454448252592783319e-11
1.239500000000000046e-01 1.146926581485629981e-10
1.240699951171874982e-01 8.428707037877458674e-11
1.241800048828125003e-01 1.320067943844094316e-10
1.242999999999999938e-01 1.623310930121135698e-10
1.244199951171875013e-01 8.211135243962885966e-11
1.245400024414062556e-01 5.626389978918844292e-11
1.246599975585937492e-01 7.558166592591675226e-11
1.247699951171875044e-01 9.284949198384850888e-11
1.248900024414062448e-01 1.144592892687867902e-10
1.250099975585937384e-01 1.762365392510290008e-10
1.251300048828125067e-01 2.112885699734334821e-10
1.252500000000000002e-01 2.286090899916715102e-10
1.253599975585937554e-01 2.562272061190640216e-10
1.254800048828124959e-01 2.772410911955347501e-10
1.255999999999999894e-01 3.094069722653358667e-10
1.257199951171875107e-01 3.100215084650415065e-10
1.258400024414062512e-01 3.167282824900752303e-10
1.259500000000000064e-01 3.044771379467903216e-10
1.260699951171875000e-01 3.449543706235402851e-10
1.261900024414062405e-01 5.559874782790075187e-10
1.263099975585937618e-01 5.965870575330711745e-10
1.264300048828125023e-01 5.550390702602214787e-10
1.265400024414062574e-01 6.561538534732846983e-10
1.266599975585937510e-01 7.635729826205306381e-10
1.267800048828124915e-01 1.044715536302476266e-09
1.269000000000000128e-01 1.240404334801326058e-09
1.270199951171875064e-01 1.222393519739739531e-09
1.271300048828125084e-01 1.278055772324648842e-09
1.272500000000000020e-01 1.226295842648994494e-09
1.273699951171874956e-01 1.109281444477971945e-09
1.274900024414062638e-01 1.067009480770764185e-09
1.276099975585937574e-01 1.153111606200241113e-09
1.277199951171875125e-01 1.352827294631708810e-09
1.278400024414062530e-01 1.564068874415625032e-09
1.279599975585937466e-01 1.822633488579583627e-09
1.280800048828124871e-01 2.116979480604186392e-09
1.282000000000000084e-01 2.320958092383307303e-09
1.283099975585937635e-01 2.440921242907734268e-09
1.284300048828125040e-01 2.368580442890788618e-09
1.285499999999999976e-01 2.185936986975889340e-09
1.286699951171874912e-01 2.133867083031759648e-09
1.287900024414062594e-01 2.133533127945952401e-09
1.288999999999999868e-01 2.341808080785767743e-09
1.290199951171875081e-01 2.572690060986815297e-09
1.291400024414062486e-01 2.762943873690915098e-09
1.292599975585937422e-01 2.961050071803583705e-09
1.293800048828125104e-01 3.053038710731925676e-09
1.294900024414062378e-01 3.115572910772357318e-09
1.296099975585937591e-01 3.096128464719072326e-09
1.297300048828124996e-01 3.018605587712386296e-09
1.298499999999999932e-01 2.863737247338349334e-09
1.299699951171874868e-01 2.650343278176592321e-09
1.300800048828124889e-01 2.227238837804179639e-09
1.302000000000000102e-01 1.995882792371617143e-09
1.303199951171875037e-01 2.008787358676045187e-09
1.304400024414062442e-01 2.048414771138595825e-09
1.305599975585937378e-01 2.043404778717672343e-09
1.306699951171874929e-01 2.124714404416749858e-09
1.307900024414062612e-01 2.184044056718903448e-09
1.309099975585937548e-01 2.183641267805569441e-09
1.310300048828124952e-01 2.415880828721128637e-09
1.311499999999999888e-01 2.815154553914567259e-09
1.312599975585937440e-01 3.287209393576517868e-09
1.313800048828125122e-01 3.740519449735302260e-09
1.315000000000000058e-01 4.063720027147610381e-09
1.316199951171874993e-01 4.173178247413034114e-09
1.317300048828125014e-01 4.245777507350112501e-09
1.318499999999999950e-01 4.390610541804562672e-09
1.319699951171874885e-01 4.503446504600105982e-09
1.320900024414062568e-01 4.500559924736080575e-09
1.322099975585937504e-01 4.393372332600620211e-09
1.323199951171875055e-01 4.392059604896303426e-09
1.324400024414062460e-01 4.220179317115935191e-09
1.325599975585937396e-01 4.218201787864472863e-09
1.326800048828125078e-01 4.246909490746020310e-09
1.328000000000000014e-01 4.243988271923626598e-09
1.329099975585937565e-01 4.168093425960250897e-09
1.330300048828124970e-01 4.286047516899316179e-09
1.331499999999999906e-01 3.952985050403867717e-09
1.332699951171875119e-01 3.596778874737083243e-09
1.333900024414062524e-01 3.459260877747283303e-09
1.335000000000000075e-01 3.770094014754477030e-09
1.336199951171875011e-01 4.202225234450907010e-09
1.337400024414062416e-01 4.942339426605713015e-09
1.338599975585937629e-01 5.368030464580897387e-09
1.339800048828125034e-01 5.559002591581929664e-09
1.340900024414062586e-01 5.624822829730646845e-09
1.342099975585937521e-01 5.605609310066483886e-09
1.343300048828124926e-01 5.778967082648023279e-09
1.344499999999999862e-01 5.590551577228097813e-09
1.345699951171875075e-01 5.606017428050336093e-09
1.346800048828125096e-01 5.545279346819143029e-09
1.348000000000000032e-01 5.496412658345661839e-09
1.349199951171874967e-01 5.377311929066763696e-09
1.350400024414062372e-01 5.115174950276468735e-09
1.351599975585937585e-01 4.921237639621267590e-09
1.352699951171875137e-01 4.680476894947105393e-09
1.353900024414062542e-01 4.651127483157324605e-09
1.355099975585937477e-01 4.528198704889518922e-09
1.356300048828124882e-01 4.593135649599844328e-09
1.357500000000000095e-01 4.729138858294845704e-09
1.358599975585937369e-01 5.084741072636234094e-09
1.359800048828125052e-01 5.140476044829256352e-09
1.360999999999999988e-01 5.010172277053470680e-09
1.362199951171874923e-01 5.134888070301713014e-09
1.363400024414062606e-01 5.074312081632115223e-09
1.364499999999999880e-01 5.004672676278687504e-09
1.365699951171875093e-01 5.118172552442956658e-09
1.366900024414062498e-01 5.133473202079130715e-09
1.368099975585937433e-01 5.064010988320433171e-09
1.369300048828125116e-01 5.144151771219185321e-09
1.370400024414062390e-01 5.267981162404566930e-09
1.371599975585937603e-01 5.296002747456896032e-09
1.372800048828125008e-01 5.441906036907084854e-09
1.373999999999999944e-01 5.671138225693539425e-09
1.375199951171874879e-01 5.751016995958480038e-09
1.376300048828124900e-01 5.627407873021184059e-09
1.377500000000000113e-01 5.536870517630632094e-09
1.378699951171875049e-01 5.636420219445881230e-09
1.379900024414062454e-01 5.409883652163216539e-09
1.381099975585937389e-01 5.341746600606711581e-09
1.382199951171874941e-01 5.708330252929272319e-09
1.383400024414062623e-01 5.710997452723631795e-09
1.384599975585937559e-01 5.554865012413756631e-09
1.385800048828124964e-01 5.522582391392916179e-09
1.386999999999999900e-01 5.557649895848726374e-09
1.388099975585937451e-01 5.717964324247759578e-09
1.389300048828125134e-01 5.692279980706871356e-09
1.390500000000000069e-01 5.704404060224987916e-09
1.391699951171875005e-01 5.622181387110458672e-09
1.392900024414062410e-01 5.520469414932449581e-09
1.393999999999999961e-01 5.446548101417647558e-09
1.395199951171874897e-01 5.457545082521164659e-09
1.396400024414062579e-01 5.363064214947144137e-09
1.397599975585937515e-01 5.244233491907834832e-09
1.398800048828124920e-01 5.394508839628997521e-09
1.399900024414062472e-01 5.691873194990648699e-09
1.401099975585937407e-01 5.747403442057930079e-09
1.402300048828125090e-01 5.755906418158929228e-09
1.403500000000000025e-01 5.786952250730337255e-09
1.404699951171874961e-01 5.931906521539076493e-09
1.405800048828124982e-01 6.252007800355841027e-09
1.406999999999999917e-01 6.219912140892347452e-09
1.408199951171875131e-01 5.972071726034755557e-09
1.409400024414062536e-01 5.860961493908689590e-09
1.410500000000000087e-01 5.890218979232031415e-09
1.411699951171875023e-01 6.000023589081138198e-09
1.412900024414062428e-01 6.258919160728737552e-09
1.414099975585937363e-01 6.330825641498449841e-09
1.415300048828125046e-01 6.246980710500338319e-09
1.416400024414062597e-01 6.544721653511942350e-09
1.417599975585937533e-01 6.503574567773284798e-09
1.418800048828124938e-01 6.493392490369842562e-09
1.419999999999999873e-01 6.514165207249789091e-09
1.421199951171875087e-01 6.471939428820405737e-09
1.422300048828125107e-01 6.498143356736818532e-09
1.423500000000000043e-01 6.606891478355692016e-09
1.424699951171874979e-01 6.675479280460194786e-09
1.425900024414062384e-01 6.684691911118534335e-09
1.427099975585937597e-01 6.705526800487859873e-09
1.428199951171874871e-01 6.439092370413845856e-09
1.429400024414062553e-01 6.149476927674868421e-09
1.430599975585937489e-01 5.973859629193611909e-09
1.431800048828124894e-01 5.734566599358004169e-09
1.433000000000000107e-01 5.885918419323843409e-09
1.434099975585937381e-01 6.215508996376684081e-09
1.435300048828125064e-01 6.115488559998993878e-09
1.436499999999999999e-01 6.359484050477703931e-09
1.437699951171874935e-01 6.631263982370683152e-09
1.438900024414062617e-01 6.422607334855001682e-09
1.439999999999999891e-01 6.630425986031696084e-09
1.441199951171875104e-01 6.752268522092208514e-09
1.442400024414062509e-01 6.622603354600187231e-09
