name,mean_final_rating,grade,object_type,r_e,r_e_err,objid_lens,objid,ra,dec,g,r,i,z
DESI-164.3198-08.2676,1.3333333333333333,A,lens,1.473430988429274,0.3018104517352517,10703400012265.0,10703400012265.0,164.319748125145,-8.267541352483093,19.629332,18.25049,17.655929999999998,17.371342000000002
DESI-164.3198-08.2676,1.3333333333333333,A,source,,,10703400012265.0,10703400012266.0,164.31934831470141,-8.267436604565404,20.45917,,,
DESI-165.4754-06.0423,1.0833333333333333,A,lens,2.3292506891388545,0.2951543032219526,10677900022695.0,10677900022695.0,165.47542967885323,-6.042277294594967,20.619114,19.039089999999998,18.42772,18.122223
DESI-165.4754-06.0423,1.0833333333333333,A,source,,,10677900022695.0,10677900022698.0,165.4748469778223,-6.041904313695923,21.49868,,,
DESI-165.4754-06.0423,1.0833333333333333,A,source,,,10677900022695.0,10677900022697.0,165.4748636599181,-6.042649913454723,21.955467000000002,,,
DESI-165.4754-06.0423,1.0833333333333333,A,source,,,10677900022695.0,10677900008075.0,165.47510004127645,-6.0417427461166255,20.993437,,,
DESI-165.4754-06.0423,1.0833333333333333,A,source,,,10677900022695.0,10677900022694.0,165.47550347507934,-6.041684983098777,21.545618,,,
DESI-216.8280-06.7541,2.5,A,lens,3.5336864078207184,0.44073683336904,10679700112940.0,10679700112940.0,216.82793692960374,-6.754116488957024,18.884325,17.415804,16.764682999999998,16.49379
DESI-216.8280-06.7541,2.5,A,source,,,10679700112940.0,10679700050462.0,216.8270563854306,-6.75367054692822,19.56334,18.836897,,
J1422-0238,0.75,A,lens,3.9797208949773193,0.8220378741942526,10641200143458.0,10641200143458.0,215.6475102577932,-2.6492758377745687,20.617813,18.931973,18.219510999999997,18.030983
J1422-0238,0.75,A,source,,,10641200143458.0,10641200069230.0,215.64754211681424,-2.6501644417752037,21.748869,20.939621,,
J1422-0238,0.75,A,source,,,10641200143458.0,10641200022451.0,215.6486582693673,-2.6486185760234378,23.963820000000002,,,
J1537-3010,2.083333333333333,A,lens,1.5294562398613702,0.2986561472450066,10923500121579.0,10923500121579.0,234.35552765837195,-30.17142550827909,19.851238000000002,19.909042000000003,18.9814,18.75521
J1537-3010,2.083333333333333,A,source,,,10923500121579.0,10923500230336.0,234.35515021939918,-30.171087281277426,19.658525,19.918343,19.590633,19.568766
J1537-3010,2.083333333333333,A,source,,,10923500121579.0,10923500121582.0,234.3557773838733,-30.171119376711673,,20.272125,,
J1537-3010,2.083333333333333,A,source,,,10923500121579.0,10923500230344.0,234.3560123713057,-30.171521824266986,19.554209,19.860232999999997,19.507801,19.47976
RXJ1131-1231,2.083333333333333,A,lens,2.2408906347926494,0.34582577748197724,10742100169022.0,10742100169022.0,172.96428310605316,-12.532823336062028,19.480877,18.05536,17.452278,17.075407000000002
RXJ1131-1231,2.083333333333333,A,source,,,10742100169022.0,10742100074383.0,172.96490123161453,-12.532976244454176,16.900822,16.558779,16.282185000000002,16.091448
DELJ075209-015947,0.75,B,lens,2.5567188389950997,0.36707992619690405,10625000208534.0,10625000208534.0,118.03768197279304,-1.9965502387702685,18.174051000000002,17.346256,16.970129999999997,16.765005
DELJ075209-015947,0.75,B,source,,,10625000208534.0,nan,118.0379638,-1.9972022,,,,
DELJ080123-063453,0.5833333333333334,B,lens,2.1993972414724605,0.34994766197039334,10676300171714.0,10676300171714.0,120.34748410974251,-6.5816568676577845,20.60602,18.973963,18.526583,18.260654000000002
